[EXP] 0: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 29: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 30: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 31: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 32: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 33: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 34: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 35: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 36: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 37: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 38: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 39: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 40: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 41: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 42: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 43: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 44: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 45: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 46: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 47: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 48: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 49: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 50: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 51: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 52: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 53: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 54: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 55: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 56: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 57: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 58: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 59: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 60: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 61: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 62: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 63: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 64: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 65: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 66: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 67: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 68: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 69: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 70: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 71: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 72: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 73: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 74: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 75: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 76: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 77: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 78: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 79: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 80: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 81: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 82: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 83: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 84: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
[EXP] 85: [success_rate]: False, [progress_rate]: 0.0, [grounding_acc]: 0.0, [score_state]: [] 
